anio,mes,ruta,clasificacion_vuelo,aerolinea,origen_localidad,origen_provincia,destino_localidad,destino_provincia,pasajeros,asientos,vuelos,factor_ocupacion
2017,1,Bogotá - Ezeiza,internacional,Avianca,Bogotá,,Ezeiza,Buenos Aires,6791,7768,31,0.8742
2017,1,Bogotá - Ezeiza,internacional,LATAM,Bogotá,,Ezeiza,Buenos Aires,4002,5304,24,0.7545
2017,1,Brasilia - Ezeiza,internacional,LATAM,Brasilia,,Ezeiza,Buenos Aires,4797,6380,29,0.7519
2017,1,Brasilia - Ezeiza,internacional,Qatar Airways,Brasilia,,Ezeiza,Buenos Aires,250,335,1,0.7463
2017,1,Cabo Frio - Ezeiza,internacional,Andes Líneas Aéreas,Cabo Frio,,Ezeiza,Buenos Aires,98,165,1,0.5939
2017,1,Cancún - Ezeiza,internacional,Aerolíneas Argentinas,Cancún,,Ezeiza,Buenos Aires,4242,4949,17,0.8571
2017,1,Cancún - Ezeiza,internacional,Aeroméxico,Cancún,,Ezeiza,Buenos Aires,442,518,2,0.8533
2017,1,Caracas - Ezeiza,internacional,Conviasa,Caracas,,Ezeiza,Buenos Aires,3548,4716,9,0.7523
2017,1,Cayo Coco - Ezeiza,internacional,Cubana de Aviación,Cayo Coco,,Ezeiza,Buenos Aires,60,303,1,0.198
2017,1,Ciudad de Buenos Aires - Asunción,internacional,Aerolíneas Argentinas,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Asunción,,2541,3284,32,0.7738
2017,1,Ciudad de Buenos Aires - Bahía Blanca,cabotaje,Aerolíneas Argentinas,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Bahía Blanca,Buenos Aires,8072,10235,94,0.7887
2017,1,Ciudad de Buenos Aires - Bahía Blanca,cabotaje,LATAM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Bahía Blanca,Buenos Aires,3036,4704,29,0.6454
2017,1,Ciudad de Buenos Aires - Cabo Frio,internacional,Andes Líneas Aéreas,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cabo Frio,,163,165,1,0.9879
